track_uri,track_name,artist_uri_1,artist_uri_2,artist_uri_3,artist_uri_4,artist_uri_5,artist_uri_6,artist_uri_7,artist_name_1,artist_name_2,artist_name_3,artist_name_4,artist_name_5,artist_name_6,artist_name_7,album_uri,album_name,album_artist_uri_1,album_artist_uri_2,album_artist_uri_3,album_artist_name_1,album_artist_name_2,album_artist_name_3,album_release_date,album_image_url,track_number,duration,track_preview_url,explicit,popularity
spotify:track:7lIr3vVhpDkU5mQEDcnA0S,Intro,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,,,,,Kanye West,,,,,,,spotify:album:4Uv86qWpGTxf7fU7lG5X6F,The College Dropout,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,Kanye West,,,2004-02-10,https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,1,00:19,https://p.scdn.co/mp3-preview/21c88c64653c597d90f4326503cc70cb6a6dcd94?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,13
spotify:track:0IW0qaeyxL5Et4UG2MrJKB,We Don't Care,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,,,,,Kanye West,,,,,,,spotify:album:4Uv86qWpGTxf7fU7lG5X6F,The College Dropout,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,Kanye West,,,2004-02-10,https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,2,04:00,https://p.scdn.co/mp3-preview/5b1f1dfcba18fd0075ec3c4a46df9d85f07dc6a4?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,65
spotify:track:7wL7Lb8Q3aYyq6gmRL0PZq,Graduation Day,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,,,,,Kanye West,,,,,,,spotify:album:4Uv86qWpGTxf7fU7lG5X6F,The College Dropout,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,Kanye West,,,2004-02-10,https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,3,01:22,https://p.scdn.co/mp3-preview/de2636b3a155633270b0b19e088cbd6a3e62ca77?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,54
spotify:track:5SkRLpaGtvYPhw02vZhQQ9,All Falls Down,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:1lE6SEy8f84Zhjvp7r8yTD,,,,,,Kanye West, Syleena Johnson,,,,,,spotify:album:4Uv86qWpGTxf7fU7lG5X6F,The College Dropout,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,Kanye West,,,2004-02-10,https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,4,03:44,https://p.scdn.co/mp3-preview/1d85eddad1a4210fe3224afacb5e785c614b7b9b?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,80
spotify:track:1ko2NuvWlQdxtNRc8QQzmT,Spaceship,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:2hZ6jVi1cao5VlJHAEPzU7, spotify:artist:5KkgZ31b9eDwkvo9oMIrSm,,,,,Kanye West, GLC, Consequence,,,,,spotify:album:4Uv86qWpGTxf7fU7lG5X6F,The College Dropout,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,Kanye West,,,2004-02-10,https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,6,05:24,https://p.scdn.co/mp3-preview/62c63c5257497782ea772e132e76866bec9c69d9?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,65
spotify:track:5g1vtHqi9uV7xtYeCcFOBx,Jesus Walks,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,,,,,Kanye West,,,,,,,spotify:album:4Uv86qWpGTxf7fU7lG5X6F,The College Dropout,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,Kanye West,,,2004-02-10,https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,7,03:14,https://p.scdn.co/mp3-preview/7de14d643e8119c91b2a9c7a48bbe16fdb61481f?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,71
spotify:track:34j4OxJxKznBs88cjSL2j9,Never Let Me Down,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:0hKpvarswO34Ks5iPNmEXn,,,,,Kanye West, JAY-Z, J. Ivy,,,,,spotify:album:4Uv86qWpGTxf7fU7lG5X6F,The College Dropout,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,Kanye West,,,2004-02-10,https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,8,05:24,https://p.scdn.co/mp3-preview/cbc1e9f30f1cfde573c40cfbfe1a3f43536aac5f?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,62
spotify:track:5b2FFKC64kxqcfaFnIZxoM,Get Em High,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:0lEssBAxQl2In4RpaB1C2Y, spotify:artist:2GHclqNVjqGuiE5mA7BEoc,,,,,Kanye West, Talib Kweli, Common,,,,,spotify:album:4Uv86qWpGTxf7fU7lG5X6F,The College Dropout,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,Kanye West,,,2004-02-10,https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,9,04:49,https://p.scdn.co/mp3-preview/eaf9f06a7f368a5fddce97356aa23711248a9497?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,59
spotify:track:2a1JSfTePKhysdIif2bzut,Workout Plan,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,,,,,Kanye West,,,,,,,spotify:album:4Uv86qWpGTxf7fU7lG5X6F,The College Dropout,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,Kanye West,,,2004-02-10,https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,10,00:46,https://p.scdn.co/mp3-preview/1beb3b0704aebd391bd2bfc41bf8519fdd261e2d?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,50
spotify:track:1Vp4St7JcXaUoJcIahtf3L,The New Workout Plan,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,,,,,Kanye West,,,,,,,spotify:album:4Uv86qWpGTxf7fU7lG5X6F,The College Dropout,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,Kanye West,,,2004-02-10,https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,11,05:23,https://p.scdn.co/mp3-preview/5e6bfd05f9cbd695511fd5ecbf1b1a7bc16c1304?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,62
spotify:track:3A4cpTBPaIQdtPFb5JxtaX,Slow Jamz,spotify:artist:6vbY3hOaCAhC7VjucswgdS, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7LnaAXbDVIL75IVPnndf7w,,,,,Twista, Kanye West, Jamie Foxx,,,,,spotify:album:4Uv86qWpGTxf7fU7lG5X6F,The College Dropout,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,Kanye West,,,2004-02-10,https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,12,05:17,https://p.scdn.co/mp3-preview/b37ed3a6bd4cda8b6090dfa0fc83d6bdcdde2c63?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,72
spotify:track:4KFY4EEv9CN6ivrzD6vEvg,Breathe In Breathe Out,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi,,,,,,Kanye West, Ludacris,,,,,,spotify:album:4Uv86qWpGTxf7fU7lG5X6F,The College Dropout,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,,,Kanye West,,,2004-02-10,https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,13,04:07,https://p.scdn.co/mp3-preview/7cb05a4412d27d3a0fccc403168ee5293fc4e579?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,56
